iter	Logloss
0	0.6269026469
1	0.5847213558
2	0.5583118567
3	0.5421204772
4	0.5289824603
5	0.5183534277
6	0.5100258041
7	0.5043246103
8	0.4997838421
9	0.4969329759
10	0.4934220226
11	0.4900562514
12	0.4847137734
13	0.4821230923
14	0.4786486795
15	0.4756221989
16	0.4735407537
17	0.4715774614
18	0.4678386088
19	0.4653270788
20	0.4629142922
21	0.4614771665
22	0.4593619984
23	0.4562868556
24	0.4545526447
25	0.4515021714
26	0.450479648
27	0.4480580205
28	0.4469093017
29	0.4452331222
30	0.4424498209
31	0.4391505069
32	0.4366190337
33	0.4336386807
34	0.4317776458
35	0.4294310119
36	0.4261026718
37	0.4237717956
38	0.4213278685
39	0.4196866974
40	0.4179231548
41	0.4158599496
42	0.4140206071
43	0.411038274
44	0.4077421852
45	0.4054794949
46	0.4026013091
47	0.4015020041
48	0.3993715226
49	0.3980524588
50	0.3961417572
51	0.3940151447
52	0.3920738408
53	0.3904902165
54	0.3873546532
55	0.3855690461
56	0.3838813804
57	0.3817973183
58	0.3802224651
59	0.3790853599
60	0.3775139028
61	0.3758761862
62	0.3743815142
63	0.3716917471
64	0.3698010527
65	0.3681500546
66	0.3665337695
67	0.3655501041
68	0.3641662298
69	0.3629748942
70	0.3612758892
71	0.3595418104
72	0.3584463246
73	0.3572756933
74	0.3557871535
75	0.3542145088
76	0.3529179219
77	0.3516657039
78	0.3502960869
79	0.3478567644
80	0.3456824996
81	0.343910818
82	0.3426208508
83	0.3408782289
84	0.3393510157
85	0.3380481913
86	0.3367093403
87	0.3357493916
88	0.3344085914
89	0.3332885727
90	0.3317892466
91	0.3306965376
92	0.328695751
93	0.3271239864
94	0.3261003635
95	0.3243607467
96	0.3231151351
97	0.321287753
98	0.3205686313
99	0.3195405241
100	0.3183005972
101	0.3165893834
102	0.3153333721
103	0.3143164652
104	0.3124952498
105	0.3106412943
106	0.3093335815
107	0.3088495945
108	0.3076639903
109	0.3065044551
110	0.3055143177
111	0.3039551579
112	0.3021668734
113	0.3009884594
114	0.2990087429
115	0.2977454373
116	0.2967064652
117	0.2952801638
118	0.2942739971
119	0.2925908698
120	0.2915319554
121	0.2897721403
122	0.2881478219
123	0.2871734391
124	0.2860505033
125	0.2847279541
126	0.2832334205
127	0.2823610004
128	0.2814815127
129	0.2802695982
130	0.2796811746
131	0.2783414195
132	0.2772411142
133	0.2763912322
134	0.2752909273
135	0.2743218998
136	0.2734242606
137	0.2723942322
138	0.2713761697
139	0.2700881306
140	0.2691023986
141	0.2682999446
142	0.2672422813
143	0.2659187567
144	0.2645955509
145	0.2634543723
146	0.2625350771
147	0.2615097892
148	0.2606382893
149	0.2591850734
150	0.2579751252
151	0.2566077835
152	0.2558490708
153	0.2552720114
154	0.2543722391
155	0.2537661954
156	0.2529768196
157	0.2523002366
158	0.2516399159
159	0.2508734814
160	0.2495940644
161	0.2485939987
162	0.2476257441
163	0.2469245822
164	0.246258186
165	0.2455870389
166	0.2447654477
167	0.2441972159
168	0.24336642
169	0.2425960147
170	0.2419669671
171	0.2407421037
172	0.2401793271
173	0.239285887
174	0.2383979174
175	0.2376757385
176	0.2365859177
177	0.2358496321
178	0.2347692848
179	0.2336799441
180	0.2329128695
181	0.2316463242
182	0.2306781847
183	0.2299455289
184	0.2292572757
185	0.2287373007
186	0.2278884912
187	0.227037345
188	0.2262369189
189	0.2255367723
190	0.2248781974
191	0.2240837321
192	0.222984065
193	0.2221186956
194	0.2214970822
195	0.2211905358
196	0.2205629943
197	0.2197690937
198	0.2189625449
199	0.2182630016
200	0.2172785222
201	0.2160641139
202	0.2153825444
203	0.2144058517
204	0.2134163003
205	0.2129010103
206	0.2121706156
207	0.2115137106
208	0.2107766321
209	0.2101839893
210	0.2093514461
211	0.2085064751
212	0.2078623743
213	0.2072223658
214	0.2066508843
215	0.2061229401
216	0.2055926694
217	0.2050712979
218	0.2042433743
219	0.2034728677
220	0.2027906539
221	0.2018282072
222	0.2012831234
223	0.200737063
224	0.1998969133
225	0.1990819784
226	0.1983093448
227	0.1975121426
228	0.1968990596
229	0.1960710912
230	0.1954753016
231	0.1947496236
232	0.1943471239
233	0.193511556
234	0.1929351297
235	0.1924033142
236	0.1916512859
237	0.1910035096
238	0.1903309672
239	0.1897529882
240	0.1890821427
241	0.1881718292
242	0.1871457203
243	0.1865523538
244	0.1857803862
245	0.1849149574
246	0.1843906
247	0.1837565675
248	0.1829782491
249	0.182112067
250	0.1818115264
251	0.180950346
252	0.1803253819
253	0.1799411498
254	0.1793897853
255	0.1787640827
256	0.1782900946
257	0.1776177004
258	0.176934464
259	0.1766086612
260	0.1761052265
261	0.1753947681
262	0.1746355783
263	0.1740631723
264	0.1736138272
265	0.1731653876
266	0.1724021614
267	0.1718259972
268	0.1714490879
269	0.1707140923
270	0.1701523781
271	0.1695899935
272	0.1687497385
273	0.1680703769
274	0.1675832227
275	0.1672083164
276	0.1666188526
277	0.1658205395
278	0.1654361355
279	0.1650226142
280	0.1644359194
281	0.1638963835
282	0.1634369528
283	0.1631022909
284	0.1625289633
285	0.162110444
286	0.1616718466
287	0.1610709004
288	0.1607140223
289	0.1602765989
290	0.1597306288
291	0.1594849493
292	0.1590368638
293	0.1584962459
294	0.1579202975
295	0.1573716408
296	0.1569290847
297	0.1561945179
298	0.1558859094
299	0.1554284739
