iter	Passed	Remaining
0	162	48653
1	322	47978
2	482	47771
3	642	47512
4	800	47234
5	959	47036
6	980	41043
7	1142	41690
8	1303	42154
9	1464	42478
10	1627	42763
11	1785	42846
12	1945	42944
13	2103	42966
14	2264	43023
15	2424	43041
16	2581	42973
17	2745	43013
18	2907	42997
19	3064	42902
20	3224	42845
21	3383	42758
22	3543	42670
23	3700	42559
24	3859	42459
25	4017	42338
26	4175	42217
27	4342	42185
28	4499	42044
29	4657	41921
30	4815	41789
31	4976	41675
32	5133	41534
33	5294	41423
34	5454	41294
35	5609	41133
36	5769	41007
37	5925	40854
38	6083	40714
39	6238	40549
40	6395	40401
41	6557	40283
42	6712	40119
43	6869	39967
44	7024	39804
45	7180	39649
46	7341	39521
47	7500	39376
48	7660	39242
49	7820	39104
50	7978	38952
51	8133	38789
52	8294	38656
53	8454	38515
54	8616	38381
55	8791	38304
56	8948	38148
57	9105	37991
58	9263	37840
59	9418	37674
60	9579	37534
61	9741	37395
62	9907	37271
63	10064	37114
64	10228	36980
65	10382	36811
66	10547	36680
67	10710	36542
68	10877	36415
69	11036	36263
70	11195	36108
71	11351	35947
72	11529	35852
73	11690	35703
74	11849	35549
75	12007	35389
76	12162	35224
77	12321	35070
78	12485	34928
79	12648	34783
80	12818	34656
81	12980	34510
82	13140	34355
83	13302	34206
84	13472	34077
85	13633	33925
86	13791	33766
87	13952	33613
88	14119	33473
89	14281	33323
90	14454	33198
91	14623	33062
92	14789	32919
93	14963	32791
94	15122	32632
95	15286	32484
96	15447	32328
97	15608	32173
98	15771	32020
99	15931	31863
100	16092	31706
101	16250	31544
102	16409	31384
103	16571	31230
104	16733	31075
105	16896	30923
106	17057	30768
107	17222	30617
108	17382	30459
109	17547	30309
110	17707	30149
111	17876	30007
112	18039	29852
113	18199	29693
114	18360	29535
115	18521	29378
116	18677	29213
117	18837	29054
118	18997	28894
119	19157	28736
120	19315	28574
121	19496	28445
122	19666	28300
123	19827	28142
124	19988	27983
125	20147	27822
126	20306	27662
127	20466	27502
128	20642	27363
129	20807	27209
130	20981	27067
131	21151	26919
132	21314	26763
133	21475	26604
134	21634	26441
135	21792	26279
136	21968	26137
137	22140	25990
138	22301	25831
139	22476	25687
140	22646	25537
141	22801	25370
142	22965	25213
143	23164	25094
144	23333	24942
145	23500	24787
146	23666	24632
147	23833	24478
148	24003	24325
149	24170	24170
150	24335	24013
151	24501	23856
152	24675	23707
153	24850	23559
154	25025	23411
155	25196	23257
156	25365	23103
157	25535	22949
158	25704	22794
159	25878	22643
160	26049	22489
161	26218	22334
162	26380	22172
163	26540	22009
164	26704	21849
165	26863	21685
166	27024	21522
167	27187	21361
168	27347	21198
169	27508	21036
170	27672	20875
171	27832	20712
172	27996	20552
173	28156	20389
174	28334	20238
175	28497	20077
176	28658	19915
177	28824	19756
178	28989	19596
179	29152	19435
180	29328	19282
181	29488	19118
182	29657	18961
183	29826	18803
184	29987	18640
185	30151	18480
186	30314	18318
187	30473	18154
188	30638	17994
189	30799	17831
190	30964	17670
191	31141	17516
192	31317	17362
193	31479	17199
194	31638	17036
195	31800	16873
196	31963	16711
197	32122	16548
198	32283	16385
199	32446	16223
200	32611	16062
201	32788	15907
202	32957	15748
203	33118	15585
204	33278	15421
205	33441	15259
206	33619	15104
207	33790	14945
208	33952	14783
209	34117	14621
210	34281	14459
211	34452	14301
212	34625	14142
213	34788	13980
214	34955	13819
215	35118	13657
216	35281	13494
217	35441	13331
218	35613	13172
219	35787	13013
220	35945	12849
221	36107	12686
222	36268	12523
223	36433	12361
224	36615	12205
225	36782	12043
226	36944	11880
227	37114	11720
228	37282	11559
229	37447	11397
230	37617	11236
231	37788	11076
232	37954	10913
233	38117	10751
234	38285	10589
235	38451	10427
236	38619	10265
237	38789	10104
238	38954	9942
239	39116	9779
240	39280	9616
241	39443	9453
242	39605	9290
243	39766	9126
244	39931	8964
245	40094	8801
246	40259	8638
247	40422	8475
248	40589	8313
249	40754	8150
250	40917	7987
251	41079	7824
252	41242	7661
253	41435	7504
254	41613	7343
255	41777	7180
256	41938	7016
257	42102	6853
258	42263	6690
259	42422	6526
260	42583	6362
261	42743	6199
262	42909	6036
263	43076	5874
264	43240	5711
265	43398	5547
266	43575	5385
267	43739	5222
268	43902	5059
269	44061	4895
270	44220	4732
271	44383	4568
272	44550	4406
273	44710	4242
274	44886	4080
275	45048	3917
276	45211	3753
277	45399	3592
278	45564	3429
279	45728	3266
280	45890	3102
281	46049	2939
282	46215	2776
283	46379	2612
284	46544	2449
285	46705	2286
286	46871	2123
287	47033	1959
288	47199	1796
289	47361	1633
290	47528	1469
291	47698	1306
292	47858	1143
293	48017	979
294	48179	816
295	48342	653
296	48505	489
297	48666	326
298	48826	163
299	48987	0
